,ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,COORDS
159,20101018,역삼로 시점에서 11번째 분기된 도로,16,Yeoksam-ro 11-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 752-41,1,846,역삼동 751-8,역삼로11길,4166631,4.0,59.0,4,11680,3,"[(127.0345118597628, 37.494942961314166), (127.03436932170345, 37.49504767915754), (127.0344858241857, 37.49519040106187), (127.03472443000088, 37.495275965225254)]"
160,20101018,역삼로 시점에서 11번째 분기된 도로,16,Yeoksam-ro 11-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 752-41,1,847,역삼동 751-8,역삼로11길,4166631,4.0,122.0,4,11680,3,"[(127.03426887072605, 37.494708931228665), (127.03392949992379, 37.49493460807295), (127.03408702832313, 37.495157850444606), (127.03456554637364, 37.49547216636515)]"
161,20101018,테헤란로 시점에서 22번째 분기된 도로,15,Teheran-ro 22-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 736-38,1,848,역삼동 742-27,테헤란로22길,4166725,4.0,84.0,4,11680,3,"[(127.03506415967777, 37.4960314923909), (127.03512630294934, 37.49591495749313), (127.0350578260757, 37.495801748363306), (127.03492217357883, 37.49567730472221), (127.03463957980073, 37.495418067646646)]"
162,20101018,역삼로 시점에서 11번째 분기된 도로,16,Yeoksam-ro 11-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 752-41,1,849,역삼동 751-8,역삼로11길,4166631,4.0,71.0,4,11680,3,"[(127.0353456214463, 37.49517660696908), (127.03524901983488, 37.49533603040396), (127.03515203922626, 37.49538251358498), (127.03502064159234, 37.49551657458526), (127.03502068762872, 37.49561963088473), (127.03492217357883, 37.49567730472221)]"
163,20101018,테헤란로 시점에서 8번째 분기된 도로,16,Teheran-ro 8-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 823,1,850,역삼동 829,테헤란로8길,4166767,4.0,86.0,4,11680,3,"[(127.03150804971412, 37.4980448123167), (127.03241872015532, 37.498324554058904)]"
164,20101018,논현로 시점에서 85번째 분기된 도로,16,Nonhyeon-ro 85-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225532,역삼동 738-9,1,851,역삼동 823-14,논현로85길,4166201,4.0,140.0,4,11680,3,"[(127.03691099971773, 37.499161402811474), (127.03717291001048, 37.49859013580382), (127.03639793551395, 37.49836375690793)]"
165,20101018,봉은사로 시점에서 20번째 분기된 도로,15,Bongeunsa-ro 20-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225533,역삼동 613-22,0,874,역삼동 626-32,봉은사로20길,4166339,6.0,361.0,4,11680,3,"[(127.03069116368653, 37.50548652537709), (127.03079490287791, 37.50547457951005), (127.03129560653531, 37.50519185635952), (127.0314848788906, 37.50509195990477), (127.03210716865048, 37.504758205904004), (127.03230078936313, 37.50464941415846), (127.03266575804298, 37.50445284685892), (127.0332466533446, 37.5041399828643), (127.03345856726783, 37.504025850386704), (127.03371753832535, 37.50346198048565)]"
166,20101018,언주로 시점에서 71번째 분기된 도로,16,Eonju-ro 71-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 773-3,1,876,역삼동 775-16,언주로71길,4166613,4.0,80.0,4,11680,3,"[(127.04256055729451, 37.49664670687595), (127.04287608357672, 37.495970559061135)]"
167,20101018,언주로 시점에서 71번째 분기된 도로,16,Eonju-ro 71-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 773-3,1,877,역삼동 775-16,언주로71길,4166613,4.0,118.0,4,11680,3,"[(127.04445632968566, 37.49758253157781), (127.04492488428833, 37.49658263872029)]"
168,20101018,언주로 시점에서 69번째 분기된 도로,16,Eonju-ro 69-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 779-3,1,878,역삼동 777-17,언주로69길,4166610,4.0,72.0,4,11680,3,"[(127.04385858671758, 37.49626408996888), (127.04413864193508, 37.49565603997131)]"
