ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20101018","테헤란로 시점에서 28번째 분기된 도로","16","Teheran-ro 28-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","역삼동 718","0",553,"역삼동 728-7","테헤란로28길","4166729",12.000,439.000,"4","11680","3"
"20101018","테헤란로 시점에서 34번째 분기된 도로","17","Teheran-ro 34-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","역삼동 719","0",554,"역삼동 728-45","테헤란로34길","4166735",8.000,353.000,"4","11680","3"
"20101018","테헤란로 시점에서 38번째 분기된 도로","17","Teheran-ro 38-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","역삼동 720","0",555,"역삼동 724-46","테헤란로38길","4166737",12.000,401.000,"4","11680","3"
"20101018","테헤란로 시점에서 44번째 분기된 도로","17","Teheran-ro 44-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","역삼동 707-1","0",556,"역삼동 709-1","테헤란로44길","4166740",12.000,212.000,"4","11680","3"
"20101018","테헤란로 시점에서 52번째 분기된 도로","17","Teheran-ro 52-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","역삼동 708","0",557,"역삼동 708-34","테헤란로52길","4166745",12.000,225.000,"4","11680","3"
"20101018","테헤란로 시점에서 64번째 분기된 도로","17","Teheran-ro 64-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 890","0",558,"대치동 900","테헤란로64길","4166751",12.000,260.000,"4","11680","3"
"20101018","테헤란로 시점에서 68번째 분기된 도로","17","Teheran-ro 68-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 890-12","0",559,"대치동 900-39","테헤란로68길","4166752",6.000,384.000,"4","11680","3"
"20101018","테헤란로 시점에서 70번째 분기된 도로","16","Teheran-ro 70-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 891","0",560,"대치동 895-9","테헤란로70길","4166755",8.000,255.000,"4","11680","3"
"20101018","테헤란로 시점에서 78번째 분기된 도로","17","Teheran-ro 78-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 891-13","0",561,"대치동 894-5","테헤란로78길","4166757",12.000,250.000,"4","11680","3"
"20101018","테헤란로 시점에서 84번째 분기된 도로","17","Teheran-ro 84-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 943","0",562,"대치동 955","테헤란로84길","4166763",12.000,244.000,"4","11680","3"
