,LAT,LNG,RDS_MAN_NO,RDS_MAN_NO2,RN,RN_CD,ROAD_BT,ROAD_LT,SIG_CD
0,37.493030248551165,127.02996760445366,12,0,역삼로,3122008,20.0,3607.0,11680
1,37.49310747989726,127.03023801529281,12,1,역삼로,3122008,20.0,3607.0,11680
2,37.49332549900934,127.03095311761675,12,2,역삼로,3122008,20.0,3607.0,11680
3,37.49357073712252,127.0317577936122,12,3,역삼로,3122008,20.0,3607.0,11680
4,37.49381830132277,127.03257011999749,12,4,역삼로,3122008,20.0,3607.0,11680
5,37.493879651263356,127.03277182263642,12,5,역삼로,3122008,20.0,3607.0,11680
6,37.493917325330926,127.03289544556883,12,6,역삼로,3122008,20.0,3607.0,11680
7,37.493961487113545,127.03305041701414,12,7,역삼로,3122008,20.0,3607.0,11680
8,37.49406754069412,127.03339765037497,12,8,역삼로,3122008,20.0,3607.0,11680
9,37.494083294355214,127.0334488709031,12,9,역삼로,3122008,20.0,3607.0,11680
10,37.49412239902862,127.03357718793573,12,10,역삼로,3122008,20.0,3607.0,11680
11,37.49413787329573,127.0336284310354,12,11,역삼로,3122008,20.0,3607.0,11680
12,37.494194056397035,127.03380559482476,12,12,역삼로,3122008,20.0,3607.0,11680
13,37.494194491973566,127.03380704052675,12,13,역삼로,3122008,20.0,3607.0,11680
14,37.494201955221854,127.03383181146197,12,14,역삼로,3122008,20.0,3607.0,11680
15,37.494203355284185,127.03383645834899,12,15,역삼로,3122008,20.0,3607.0,11680
16,37.494247327676646,127.0339875861362,12,16,역삼로,3122008,20.0,3607.0,11680
17,37.49434617713537,127.03431092515166,12,17,역삼로,3122008,20.0,3607.0,11680
18,37.49435862658869,127.0343518656252,12,18,역삼로,3122008,20.0,3607.0,11680
19,37.494601023703034,127.03514837550601,12,19,역삼로,3122008,20.0,3607.0,11680
20,37.49482678182369,127.03588698547584,12,20,역삼로,3122008,20.0,3607.0,11680
21,37.494856864149845,127.03598679319494,12,21,역삼로,3122008,20.0,3607.0,11680
22,37.49490441857678,127.03614197351293,12,22,역삼로,3122008,20.0,3607.0,11680
23,37.49495927272792,127.03632152638953,12,23,역삼로,3122008,20.0,3607.0,11680
24,37.49501409059903,127.03650096643064,12,24,역삼로,3122008,20.0,3607.0,11680
25,37.49506868289669,127.0366805762501,12,25,역삼로,3122008,20.0,3607.0,11680
26,37.49512351822428,127.03686007336417,12,26,역삼로,3122008,20.0,3607.0,11680
27,37.49514569337167,127.03694514362786,12,27,역삼로,3122008,20.0,3607.0,11680
28,37.495155363143766,127.03697681657046,12,28,역삼로,3122008,20.0,3607.0,11680
29,37.49519442924689,127.03709235346885,12,29,역삼로,3122008,20.0,3607.0,11680
30,37.49522058634336,127.037178420892,12,30,역삼로,3122008,20.0,3607.0,11680
31,37.495265303744354,127.0373247244604,12,31,역삼로,3122008,20.0,3607.0,11680
32,37.495336177794066,127.03755706196634,12,32,역삼로,3122008,20.0,3607.0,11680
33,37.495356168900635,127.03762286250398,12,33,역삼로,3122008,20.0,3607.0,11680
34,37.49540679907126,127.0377895128708,12,34,역삼로,3122008,20.0,3607.0,11680
35,37.49543913954692,127.03789499992706,12,35,역삼로,3122008,20.0,3607.0,11680
36,37.49547598710902,127.0380225854657,12,36,역삼로,3122008,20.0,3607.0,11680
37,37.49552139509851,127.0381757657552,12,37,역삼로,3122008,20.0,3607.0,11680
38,37.495523240273165,127.03818180523317,12,38,역삼로,3122008,20.0,3607.0,11680
39,37.49554574236828,127.0382554891453,12,39,역삼로,3122008,20.0,3607.0,11680
40,37.49561636226462,127.03848795266413,12,40,역삼로,3122008,20.0,3607.0,11680
41,37.4956872250114,127.03872029235067,12,41,역삼로,3122008,20.0,3607.0,11680
42,37.49575810531307,127.03895265510141,12,42,역삼로,3122008,20.0,3607.0,11680
43,37.49578145279917,127.03902969844371,12,43,역삼로,3122008,20.0,3607.0,11680
44,37.495869428621596,127.0392489980486,12,44,역삼로,3122008,20.0,3607.0,11680
45,37.49586978873234,127.03924990288955,12,45,역삼로,3122008,20.0,3607.0,11680
46,37.495936750244894,127.03942115490054,12,46,역삼로,3122008,20.0,3607.0,11680
47,37.49600561157079,127.03956768830884,12,47,역삼로,3122008,20.0,3607.0,11680
48,37.49601439929736,127.039586396644,12,48,역삼로,3122008,20.0,3607.0,11680
49,37.49644125421231,127.04045116931674,12,49,역삼로,3122008,20.0,3607.0,11680
50,37.49653720036495,127.04064588102274,12,50,역삼로,3122008,20.0,3607.0,11680
51,37.49718857401719,127.04196777108885,12,51,역삼로,3122008,20.0,3607.0,11680
52,37.497859919742034,127.04333273557128,12,52,역삼로,3122008,20.0,3607.0,11680
53,37.49786499772075,127.0433430631068,12,53,역삼로,3122008,20.0,3607.0,11680
54,37.498075034001005,127.0437611905801,12,54,역삼로,3122008,20.0,3607.0,11680
55,37.498510074724315,127.04467691569138,12,55,역삼로,3122008,20.0,3607.0,11680
56,37.49855259199609,127.04477782464045,12,56,역삼로,3122008,20.0,3607.0,11680
57,37.49859422120434,127.04489234881417,12,57,역삼로,3122008,20.0,3607.0,11680
58,37.49863669632833,127.04500935020306,12,58,역삼로,3122008,20.0,3607.0,11680
59,37.49877954223785,127.04544352825447,12,59,역삼로,3122008,20.0,3607.0,11680
60,37.49950627829093,127.0476667089471,12,60,역삼로,3122008,20.0,3607.0,11680
61,37.49953861226524,127.04776621235938,12,61,역삼로,3122008,20.0,3607.0,11680
62,37.500554084729124,127.05085719102657,12,62,역삼로,3122008,20.0,3607.0,11680
63,37.50095125621097,127.05206653285427,12,63,역삼로,3122008,20.0,3607.0,11680
64,37.50095733004106,127.05208501587724,12,64,역삼로,3122008,20.0,3607.0,11680
65,37.50098122935856,127.05215786206593,12,65,역삼로,3122008,20.0,3607.0,11680
66,37.501142233601044,127.05264870404221,12,66,역삼로,3122008,20.0,3607.0,11680
67,37.501276700202624,127.05305973311556,12,67,역삼로,3122008,20.0,3607.0,11680
68,37.50139569798559,127.05342349230051,12,68,역삼로,3122008,20.0,3607.0,11680
69,37.501522189940346,127.05380989867957,12,69,역삼로,3122008,20.0,3607.0,11680
70,37.50177059655786,127.05457473916722,12,70,역삼로,3122008,20.0,3607.0,11680
71,37.50177079450824,127.05457533869155,12,71,역삼로,3122008,20.0,3607.0,11680
72,37.50188494576369,127.05492688533852,12,72,역삼로,3122008,20.0,3607.0,11680
73,37.501994732114035,127.05526527736117,12,73,역삼로,3122008,20.0,3607.0,11680
74,37.50221199991229,127.05593214453448,12,74,역삼로,3122008,20.0,3607.0,11680
75,37.50221334950272,127.0559362846822,12,75,역삼로,3122008,20.0,3607.0,11680
76,37.50245656455968,127.05667545215594,12,76,역삼로,3122008,20.0,3607.0,11680
77,37.502620191094806,127.05718290612141,12,77,역삼로,3122008,20.0,3607.0,11680
78,37.50262051498512,127.05718390157712,12,78,역삼로,3122008,20.0,3607.0,11680
79,37.50263378542272,127.05722481704562,12,79,역삼로,3122008,20.0,3607.0,11680
80,37.50276067714328,127.05761591855713,12,80,역삼로,3122008,20.0,3607.0,11680
81,37.502770447686295,127.05764601987978,12,81,역삼로,3122008,20.0,3607.0,11680
82,37.5027734166267,127.05765518262506,12,82,역삼로,3122008,20.0,3607.0,11680
83,37.50285803680797,127.05792329901239,12,83,역삼로,3122008,20.0,3607.0,11680
84,37.50288784545777,127.05800998463815,12,84,역삼로,3122008,20.0,3607.0,11680
85,37.50291980149163,127.05810906695642,12,85,역삼로,3122008,20.0,3607.0,11680
86,37.5029437738877,127.0581908513832,12,86,역삼로,3122008,20.0,3607.0,11680
87,37.50303124971621,127.05845751224936,12,87,역삼로,3122008,20.0,3607.0,11680
88,37.50309195959216,127.05864286181334,12,88,역삼로,3122008,20.0,3607.0,11680
89,37.50309232844893,127.05864400433722,12,89,역삼로,3122008,20.0,3607.0,11680
90,37.503256697570286,127.0591448288749,12,90,역삼로,3122008,20.0,3607.0,11680
91,37.503294663411246,127.05926008918416,12,91,역삼로,3122008,20.0,3607.0,11680
92,37.50331153171942,127.05931204610417,12,92,역삼로,3122008,20.0,3607.0,11680
93,37.50332636551614,127.0593603937886,12,93,역삼로,3122008,20.0,3607.0,11680
94,37.503339079266524,127.05939582455176,12,94,역삼로,3122008,20.0,3607.0,11680
95,37.50334948830915,127.05942746490642,12,95,역삼로,3122008,20.0,3607.0,11680
96,37.50336663584726,127.05947943342726,12,96,역삼로,3122008,20.0,3607.0,11680
97,37.503373401089036,127.05950034969659,12,97,역삼로,3122008,20.0,3607.0,11680
98,37.50340430403707,127.05959468253488,12,98,역삼로,3122008,20.0,3607.0,11680
99,37.5034076777411,127.05960493144904,12,99,역삼로,3122008,20.0,3607.0,11680
100,37.503433594301754,127.05968865229931,12,100,역삼로,3122008,20.0,3607.0,11680
101,37.5034404659294,127.05970968663438,12,101,역삼로,3122008,20.0,3607.0,11680
102,37.5034578307117,127.05976284101617,12,102,역삼로,3122008,20.0,3607.0,11680
103,37.503474756894065,127.05981465291812,12,103,역삼로,3122008,20.0,3607.0,11680
104,37.50351423194781,127.05992944672863,12,104,역삼로,3122008,20.0,3607.0,11680
105,37.503517587709,127.05993948078036,12,105,역삼로,3122008,20.0,3607.0,11680
106,37.50353109995513,127.05998141526044,12,106,역삼로,3122008,20.0,3607.0,11680
107,37.503552265531454,127.06005191197457,12,107,역삼로,3122008,20.0,3607.0,11680
108,37.50356698798201,127.06009698022464,12,108,역삼로,3122008,20.0,3607.0,11680
109,37.50358406828347,127.06014926639764,12,109,역삼로,3122008,20.0,3607.0,11680
110,37.50362191786799,127.0602651317824,12,110,역삼로,3122008,20.0,3607.0,11680
111,37.5036388744409,127.06031703950049,12,111,역삼로,3122008,20.0,3607.0,11680
112,37.50367663066124,127.06043261975049,12,112,역삼로,3122008,20.0,3607.0,11680
113,37.50369394311608,127.06048561720867,12,113,역삼로,3122008,20.0,3607.0,11680
114,37.50373115706964,127.06059953812155,12,114,역삼로,3122008,20.0,3607.0,11680
115,37.50374836022588,127.06065220129595,12,115,역삼로,3122008,20.0,3607.0,11680
116,37.50375340399361,127.0606676415518,12,116,역삼로,3122008,20.0,3607.0,11680
117,37.50376532824263,127.06070414505825,12,117,역삼로,3122008,20.0,3607.0,11680
118,37.503785828492674,127.06076690224302,12,118,역삼로,3122008,20.0,3607.0,11680
119,37.50380319280783,127.06082005953247,12,119,역삼로,3122008,20.0,3607.0,11680
120,37.50381983157695,127.06087099580354,12,120,역삼로,3122008,20.0,3607.0,11680
121,37.50384074862482,127.06093502929886,12,121,역삼로,3122008,20.0,3607.0,11680
122,37.50385772696285,127.06098700530073,12,122,역삼로,3122008,20.0,3607.0,11680
123,37.50387490604377,127.0610395959346,12,123,역삼로,3122008,20.0,3607.0,11680
124,37.50389524980981,127.06110187480097,12,124,역삼로,3122008,20.0,3607.0,11680
125,37.5039122000094,127.06115376496263,12,125,역삼로,3122008,20.0,3607.0,11680
126,37.50392281013446,127.06118624610856,12,126,역삼로,3122008,20.0,3607.0,11680
127,37.50392950840429,127.06120675171702,12,127,역삼로,3122008,20.0,3607.0,11680
128,37.503973886709595,127.06133076521375,12,128,역삼로,3122008,20.0,3607.0,11680
129,37.504001153591744,127.06141438658581,12,129,역삼로,3122008,20.0,3607.0,11680
130,37.504049228633505,127.06156073572949,12,130,역삼로,3122008,20.0,3607.0,11680
131,37.50406976648522,127.06162353111525,12,131,역삼로,3122008,20.0,3607.0,11680
132,37.50412457002757,127.06179086503973,12,132,역삼로,3122008,20.0,3607.0,11680
133,37.50415212489656,127.06187449828839,12,133,역삼로,3122008,20.0,3607.0,11680
134,37.50420019027547,127.0620210063468,12,134,역삼로,3122008,20.0,3607.0,11680
135,37.50422998467149,127.06211203799164,12,135,역삼로,3122008,20.0,3607.0,11680
136,37.50423449178306,127.0621254660196,12,136,역삼로,3122008,20.0,3607.0,11680
137,37.50427553085745,127.06225096693923,12,137,역삼로,3122008,20.0,3607.0,11680
138,37.50430561339494,127.06234199900058,12,138,역삼로,3122008,20.0,3607.0,11680
139,37.504316849118986,127.06237644560379,12,139,역삼로,3122008,20.0,3607.0,11680
140,37.50435115020627,127.06248110917277,12,140,역삼로,3122008,20.0,3607.0,11680
141,37.504375737722945,127.06256042555982,12,141,역삼로,3122008,20.0,3607.0,11680
142,37.50439221095637,127.06261733399934,12,142,역삼로,3122008,20.0,3607.0,11680
143,37.504403155124216,127.06265677719567,12,143,역삼로,3122008,20.0,3607.0,11680
144,37.504420863745246,127.06271266069092,12,144,역삼로,3122008,20.0,3607.0,11680
145,37.5044512187732,127.06280474517499,12,145,역삼로,3122008,20.0,3607.0,11680
146,37.504455437392664,127.06281835400104,12,146,역삼로,3122008,20.0,3607.0,11680
147,37.50449506971389,127.06294473666165,12,147,역삼로,3122008,20.0,3607.0,11680
148,37.504514750727,127.06300782614528,12,148,역삼로,3122008,20.0,3607.0,11680
149,37.50452374588218,127.06303629966268,12,149,역삼로,3122008,20.0,3607.0,11680
150,37.50483160527662,127.06396849703363,12,150,역삼로,3122008,20.0,3607.0,11680
151,37.50522090018083,127.06514894999833,12,151,역삼로,3122008,20.0,3607.0,11680
152,37.50566307456634,127.06648844170374,12,152,역삼로,3122008,20.0,3607.0,11680
153,37.505882595442024,127.06715346463014,12,153,역삼로,3122008,20.0,3607.0,11680
154,37.50593800350918,127.06732133872958,12,154,역삼로,3122008,20.0,3607.0,11680
155,37.49795760670573,127.02762873698151,13,0,테헤란로,3122010,50.0,3898.0,11680
