,명칭,분류,위도,경도,밝기
0,역삼로,도로,37.49303024855117,127.02996760445366,0
1,역삼로,도로,37.493107479897255,127.0302380152928,15
2,역삼로,도로,37.49332549900935,127.03095311761676,30
3,역삼로,도로,37.49357073712253,127.0317577936122,20
4,역삼로,도로,37.493818301322776,127.03257011999749,35
5,역삼로,도로,37.49387965126336,127.03277182263642,35
6,역삼로,도로,37.493917325330926,127.03289544556885,35
7,역삼로,도로,37.493961487113545,127.03305041701414,35
8,역삼로,도로,37.49406754069412,127.03339765037495,35
9,역삼로,도로,37.49408329435522,127.03344887090307,35
10,역삼로,도로,37.49412239902862,127.03357718793572,75
11,역삼로,도로,37.49413787329573,127.03362843103541,75
12,역삼로,도로,37.494194056397035,127.03380559482477,75
13,역삼로,도로,37.49419449197357,127.03380704052677,75
14,역삼로,도로,37.494201955221854,127.03383181146195,75
15,역삼로,도로,37.494203355284185,127.033836458349,75
16,역삼로,도로,37.494247327676646,127.0339875861362,110
17,역삼로,도로,37.49434617713537,127.03431092515166,75
18,역삼로,도로,37.494358626588685,127.03435186562521,55
19,역삼로,도로,37.49460102370304,127.035148375506,35
20,역삼로,도로,37.49482678182369,127.03588698547584,70
21,역삼로,도로,37.49485686414985,127.03598679319494,70
22,역삼로,도로,37.49490441857678,127.03614197351291,70
23,역삼로,도로,37.494959272727925,127.03632152638953,40
24,역삼로,도로,37.49501409059903,127.03650096643065,40
25,역삼로,도로,37.49506868289669,127.03668057625008,20
26,역삼로,도로,37.49512351822428,127.03686007336417,20
27,역삼로,도로,37.495145693371676,127.03694514362783,20
28,역삼로,도로,37.49515536314377,127.03697681657046,20
29,역삼로,도로,37.4951944292469,127.03709235346884,20
30,역삼로,도로,37.49522058634336,127.03717842089199,20
31,역삼로,도로,37.49526530374435,127.0373247244604,0
32,역삼로,도로,37.49533617779407,127.03755706196634,0
33,역삼로,도로,37.49535616890064,127.03762286250398,0
34,역삼로,도로,37.49540679907126,127.03778951287079,0
35,역삼로,도로,37.49543913954693,127.03789499992706,0
36,역삼로,도로,37.49547598710903,127.0380225854657,15
37,역삼로,도로,37.49552139509851,127.0381757657552,15
38,역삼로,도로,37.49552324027317,127.03818180523315,15
39,역삼로,도로,37.495545742368286,127.0382554891453,15
40,역삼로,도로,37.49561636226462,127.03848795266413,15
41,역삼로,도로,37.495687225011395,127.03872029235069,15
42,역삼로,도로,37.49575810531307,127.03895265510141,0
43,역삼로,도로,37.49578145279917,127.03902969844371,0
44,역삼로,도로,37.4958694286216,127.03924899804859,0
45,역삼로,도로,37.49586978873234,127.03924990288955,0
46,역삼로,도로,37.4959367502449,127.03942115490057,0
47,역삼로,도로,37.49600561157079,127.03956768830885,0
48,역삼로,도로,37.49601439929736,127.039586396644,0
49,역삼로,도로,37.49644125421232,127.04045116931671,30
50,역삼로,도로,37.49653720036496,127.04064588102274,15
51,역삼로,도로,37.49718857401719,127.04196777108885,0
52,역삼로,도로,37.497859919742034,127.04333273557128,0
53,역삼로,도로,37.497864997720754,127.0433430631068,0
54,역삼로,도로,37.498075034001005,127.0437611905801,0
55,역삼로,도로,37.49851007472432,127.04467691569135,0
56,역삼로,도로,37.498552591996095,127.04477782464045,0
57,역삼로,도로,37.49859422120434,127.04489234881416,0
58,역삼로,도로,37.49863669632833,127.04500935020306,0
59,역삼로,도로,37.49877954223785,127.04544352825451,15
60,역삼로,도로,37.49950627829093,127.04766670894709,15
61,역삼로,도로,37.49953861226524,127.04776621235938,15
62,역삼로,도로,37.50055408472912,127.05085719102655,30
63,역삼로,도로,37.50095125621097,127.05206653285428,0
64,역삼로,도로,37.50095733004106,127.05208501587722,0
65,역삼로,도로,37.500981229358565,127.05215786206593,0
66,역삼로,도로,37.501142233601044,127.05264870404221,0
67,역삼로,도로,37.501276700202624,127.05305973311556,0
68,역삼로,도로,37.50139569798559,127.05342349230051,0
69,역삼로,도로,37.501522189940346,127.05380989867956,0
70,역삼로,도로,37.50177059655786,127.0545747391672,0
71,역삼로,도로,37.50177079450824,127.05457533869156,0
72,역삼로,도로,37.501884945763685,127.05492688533852,0
